agent,step,total_games,alive_games,survival_probability
expectimax,242,3000,2987,0.9956666666666667
expectimax,243,3000,2986,0.9953333333333333
expectimax,244,3000,2986,0.9953333333333333
expectimax,245,3000,2984,0.9946666666666667
expectimax,246,3000,2983,0.9943333333333333
expectimax,247,3000,2982,0.994
expectimax,248,3000,2982,0.994
expectimax,249,3000,2982,0.994
expectimax,250,3000,2981,0.9936666666666667
expectimax,251,3000,2979,0.993
expectimax,252,3000,2979,0.993
expectimax,253,3000,2978,0.9926666666666667
expectimax,254,3000,2977,0.9923333333333333
expectimax,255,3000,2977,0.9923333333333333
expectimax,256,3000,2977,0.9923333333333333
expectimax,257,3000,2977,0.9923333333333333
expectimax,258,3000,2976,0.992
expectimax,259,3000,2975,0.9916666666666667
expectimax,260,3000,2975,0.9916666666666667
expectimax,261,3000,2975,0.9916666666666667
expectimax,262,3000,2974,0.9913333333333333
expectimax,263,3000,2974,0.9913333333333333
expectimax,264,3000,2974,0.9913333333333333
expectimax,265,3000,2974,0.9913333333333333
expectimax,266,3000,2973,0.991
expectimax,267,3000,2973,0.991
expectimax,268,3000,2973,0.991
expectimax,269,3000,2973,0.991
expectimax,270,3000,2973,0.991
expectimax,271,3000,2972,0.9906666666666667
expectimax,272,3000,2972,0.9906666666666667
expectimax,273,3000,2971,0.9903333333333333
expectimax,274,3000,2971,0.9903333333333333
expectimax,275,3000,2970,0.99
expectimax,276,3000,2970,0.99
expectimax,277,3000,2970,0.99
expectimax,278,3000,2970,0.99
expectimax,279,3000,2970,0.99
expectimax,280,3000,2969,0.9896666666666667
expectimax,281,3000,2969,0.9896666666666667
expectimax,282,3000,2969,0.9896666666666667
expectimax,283,3000,2969,0.9896666666666667
expectimax,284,3000,2969,0.9896666666666667
expectimax,285,3000,2969,0.9896666666666667
expectimax,286,3000,2969,0.9896666666666667
expectimax,287,3000,2969,0.9896666666666667
expectimax,288,3000,2969,0.9896666666666667
expectimax,289,3000,2969,0.9896666666666667
expectimax,290,3000,2969,0.9896666666666667
expectimax,291,3000,2969,0.9896666666666667
expectimax,292,3000,2969,0.9896666666666667
